1851;Прикладная теория упругости и пластичности;2013-11-18 10:45:29.243
1528;Прикладные научные исследования;2012-05-14 15:05:20.263
1737;Применение математической физики;2013-01-21 14:21:34.523
1475;Применение ЭВМ в химической технологии;2012-05-14 15:05:12.530
1704;Программирование;2012-12-22 18:46:35.240
1308;Программирование и основы алгоритмизации;2012-05-14 15:05:02.140
1306;Программирование на языке высокого уровня. Алгоритмические языки;2012-05-14 15:05:02.140
1647;Программное обеспечение систем управления;2012-06-07 10:45:46.510
1468;Программное управление системами автоматизации;2012-05-14 15:05:11.827
1671;Программные средства обработки экспериментальных данных;2012-09-21 15:47:03.803
1495;Программные статистические комплексы;2012-05-14 15:05:13.653
1527;Проектирование автоматизированных систем;2012-05-14 15:05:19.810
1332;Проектирование авторемонтных предприятий;2012-05-14 15:05:03.513
1318;Проектирование АСОИУ;2012-05-14 15:05:02.530
1702;Проектирование единого информационного пространства виртуальных предприятий;2012-12-22 12:21:07.037
1652;Проектирование и исследование специальных методов обработки;2012-06-19 13:23:27.780
1934;Проектирование и разработка программного обеспечения;2014-03-18 10:41:47.627
1544;Проектирование машиностроительных производств;2012-05-14 15:05:35.170
1333;Проектирование предприятий автомобильного транспорта;2012-05-14 15:05:03.513
1801;Проектирование предприятий химических  производств;2013-04-09 13:15:04.100
1526;Проектирование производств и предприятий химической промышленности;2012-05-14 15:05:19.687
1181;Проектирование систем автоматизации;2012-05-11 12:21:49.310
1818;Проектирование человеко-машинного интерфейса;2013-04-23 14:00:39.403
1531;Проектирование эксплуатационных предприятий;2012-05-14 15:05:21.013
1900;Производственная логистика;2013-12-19 11:31:49.263
1602;Производственная практика;2012-05-14 15:06:51.590
1901;Производственная стратегия предприятия;2013-12-19 11:40:40.920
1878;Производственно-техническая база автотранспортных предприятий;2013-12-17 14:19:52.327
1272;Производственный менеджмент;2012-05-14 15:05:00.717
1302;Промышленная экология;2012-05-14 15:05:01.920
1499;Промышленные контроллеры;2012-05-14 15:05:14.373
1644;Промышленные контроллеры и языки программирования МЭК;2012-05-22 14:55:23.900
1259;Профессиональная этика;2012-05-14 15:05:00.200
1807;Процессы и аппараты защиты окружающей среды;2013-04-10 13:08:09.167
1483;Процессы и аппараты химических и пищевых производств;2012-05-14 15:05:12.797
1382;Процессы и аппараты химической технологии;2012-05-14 15:05:05.060
1673;Процессы и операции формообразования;2012-11-12 16:26:57.393
1795;Процессы массопереноса в системах с участием твёрдой фазы;2013-04-08 14:52:11.490
1712;Психология;2012-12-25 11:49:54.083
1228;Психология и педагогика;2012-05-14 15:04:59.420
